Time,Temperature,Crime
535,91.040001,1380
536,87.980003,1448
537,91.940002,1333
538,91.940002,1415
539,91.940002,1379
540,87.980003,1453
541,87.980003,1429
542,82.040001,1414
543,86,1370
544,87.080002,1456
545,93.019997,1451
546,93.019997,1557
547,93.019997,1394
548,93.919998,1305
549,89.959999,1445
550,80.959999,1502
551,84.019997,1441
552,89.059998,1420
553,93.019997,1475
554,80.059998,1421
555,78.080002,1535
556,73.940002,1390
557,78.980003,1525
558,82.040001,1456
559,87.980003,1376
560,91.040001,1597
561,89.059998,1507
562,89.059998,1386
563,91.940002,1459
564,80.959999,1540
565,89.959999,1575
566,96.080002,1398
567,89.959999,1434
568,75.919998,1444
569,78.980003,1461
570,80.059998,1396
571,87.980003,1450
572,89.059998,1474
573,87.980003,1424
574,82.940002,1559
575,91.040001,1521
576,93.919998,1433
577,93.919998,1604
578,80.959999,1435
579,89.959999,1445
580,89.059998,1386
581,84.019997,1407
582,73.940002,1442
583,75.919998,1377
584,80.059998,1370
585,82.940002,1452
586,89.059998,1442
587,93.019997,1483
588,89.059998,1438
589,84.919998,1401
590,77,1362
591,84.919998,1394
592,80.959999,1399
593,87.080002,1481
594,78.980003,1361
595,73.940002,1292
596,75.919998,1367
597,87.080002,1329
598,80.959999,1325
599,78.080002,1433
600,82.940002,1436
601,84.019997,1303
602,80.959999,1431
603,82.940002,1408
604,78.980003,1428
605,78.080002,1262
606,82.940002,1426
607,82.940002,1348
608,84.919998,1479
609,82.040001,1338
610,80.059998,1426
611,84.019997,1360
612,82.940002,1391
613,84.919998,1539
614,89.059998,1423
615,91.940002,1336
616,89.959999,1324
617,89.059998,1289
618,75.019997,1367
619,78.080002,1298
620,77,1451
621,82.940002,1431
622,71.959999,1383
623,75.919998,1364
624,78.980003,1459
625,80.059998,1363
626,80.059998,1413
627,71.959999,1570
628,80.059998,1376
629,66.019997,1347
630,69.080002,1272
631,60.98,1305
632,73.940002,1365
633,75.919998,1392
634,66.919998,1430
635,73.940002,1382
636,84.019997,1393
637,84.919998,1371
638,82.040001,1669
639,71.059998,1433
640,62.959999,1415
641,71.959999,1500
642,62.959999,1392
643,69.080002,1370
644,55.040001,1261
645,66.019997,1359
646,64.940002,1435
647,73.040001,1338
648,73.040001,1524
649,71.959999,1381
650,50,1124
651,57.02,1330
652,60.080002,1435
653,50,1305
654,44.959999,1305
655,62.060001,1413
656,51.080002,1344
657,51.98,1299
658,55.939999,1329
659,50,1242
660,46.040001,1338
661,46.040001,1347
662,46.939999,1366
663,46.939999,1365
664,46.040001,1253
665,48.919998,1310
666,46.040001,1383
667,48.02,1333
668,48.919998,1440
669,39.919998,1484
670,48.02,1289
671,46.939999,1122
672,46.040001,1238
673,41,1145
674,42.98,1210
675,57.919998,1262
676,62.959999,1254
677,62.959999,1419
678,62.060001,1234
679,41,1255
680,42.98,1248
681,55.939999,1352
682,55.040001,1155
683,39.919998,1329
684,35.959999,1298
685,39.02,1119
686,44.959999,1255
687,53.959999,1274
688,51.080002,1290
689,42.98,1135
690,37.040001,1324
691,46.939999,1197
692,37.939999,1073
693,30.92,1183
694,28.940001,1124
695,30.02,1199
696,33.080002,833
697,46.040001,1093
698,39.919998,1079
699,35.959999,1211
700,35.060001,1144
701,24.08,1097
702,28.040001,1150
703,24.08,1138
704,32,1260
705,41,1174
706,30.02,1035
707,30.92,1237
708,44.959999,1283
709,44.959999,1260
710,37.939999,1324
711,39.02,1439
712,37.939999,1232
713,44.959999,1214
714,33.080002,1229
715,37.040001,1267
716,55.040001,1166
717,55.040001,1300
718,35.060001,1342
719,33.98,1261
720,30.02,1131
721,33.98,1128
722,30.92,1047
723,28.940001,790
724,28.940001,940
725,33.080002,1061
726,35.959999,1140
727,39.919998,1077
728,60.080002,1261
729,33.080002,1794
730,30.92,1149
731,33.98,1280
732,33.98,1184
733,32,1123
734,33.080002,1249
735,46.939999,1190
736,53.959999,1298
737,44.959999,1291
738,28.940001,1197
739,19.940001,1084
740,32,1045
741,30.02,1164
742,19.040001,1132
743,21.92,1194
744,26.959999,1189
745,24.08,1235
746,23,1080
747,28.040001,966
748,21.02,1102
749,17.959999,1117
750,14,1114
751,12.02,1011
752,15.98,1152
753,33.98,1108
754,19.040001,862
755,19.940001,1086
756,30.92,1105
757,28.040001,1090
758,32,1181
759,35.060001,1170
760,33.98,1341
761,39.02,1132
762,44.959999,1169
763,32,1093
764,26.959999,1122
765,32,1178
766,17.959999,1149
767,30.02,1004
768,26.059999,1002
769,28.040001,1196
770,32,1069
771,21.02,973
772,32,1167
773,35.060001,1240
774,28.940001,1051
775,28.040001,1064
776,32,1063
777,37.040001,1191
778,41,1218
779,50,1225
780,50,1313
781,35.060001,1098
782,28.040001,1077
783,23,1112
784,17.059999,1040
785,30.02,1208
786,32,1186
787,39.919998,1252
788,39.02,1383
789,32,1033
790,30.92,1209
791,33.98,1131
792,24.08,998
793,28.040001,1098
794,35.060001,1334
795,42.080002,1127
796,12.92,947
797,19.940001,1187
798,44.060001,1299
799,42.080002,1315
800,35.060001,1292
801,55.040001,1435
802,57.02,1299
803,66.919998,1230
804,73.040001,1289
805,44.060001,1233
806,48.919998,1264
807,64.940002,1174
808,48.02,1245
809,46.939999,1185
810,62.959999,1262
811,73.940002,1184
812,57.919998,1340
813,59,1307
814,66.919998,1385
815,60.98,1152
816,37.939999,1161
817,42.98,1160
818,55.040001,1269
819,80.959999,1533
820,71.959999,1330
821,46.939999,1264
822,39.02,1226
823,33.080002,1103
824,37.040001,1137
825,33.98,1144
826,32,1250
827,42.98,1349
828,57.919998,1433
829,69.980003,1311
830,48.919998,1356
831,66.919998,1242
832,84.919998,1326
833,86,1425
834,69.080002,1336
835,44.060001,1182
836,46.040001,1315
837,78.980003,1341
838,68,1211
839,51.080002,1259
840,55.939999,1295
841,55.939999,1355
842,60.080002,1322
843,57.02,1413
844,57.919998,1313
845,75.019997,1256
846,77,1412
847,62.959999,1346
848,68,1283
849,53.959999,1286
850,53.060001,1337
851,57.02,1151
852,59,1091
853,69.080002,1389
854,71.959999,1364
855,57.02,1412
856,60.98,1274
857,84.019997,1364
858,73.940002,1319
859,71.059998,1083
860,66.919998,1322
861,73.040001,1323
862,59,1268
863,57.02,1407
864,64.940002,1488
865,68,1332
866,71.059998,1205
867,73.940002,1360
868,68,1361
869,57.02,1305
870,60.98,1327
871,64.040001,1363
872,69.980003,1331
873,66.919998,1262
874,71.059998,1156
875,75.019997,1370
876,71.059998,1255
877,66.919998,1274
878,71.059998,1390
879,57.919998,1256
880,62.959999,1404
881,68,1353
882,60.98,1349
883,68,1319
884,78.080002,1235
885,71.959999,1384
886,77,1350
887,66.919998,1273
888,75.919998,1350
889,78.080002,1485
890,68,1281
891,66.919998,1329
892,69.980003,1340
893,78.080002,1318
894,75.019997,1314
895,78.980003,1314
896,80.959999,1328
897,89.959999,1384
898,68,1308
899,73.040001,1421
900,80.059998,1261
901,84.919998,1234
902,87.980003,1338
903,91.940002,1320
904,91.940002,1345
905,75.019997,1307
906,82.940002,1351
907,82.040001,1377
908,82.940002,1353
909,84.919998,1312
910,86,1486
911,89.059998,1314
912,93.019997,1320
913,93.919998,1271
914,87.980003,1353
915,87.980003,1254
916,87.980003,1391
917,78.080002,1274
918,73.940002,1290
919,82.040001,1316
920,77,1460
921,80.959999,1392
922,82.940002,1403
923,84.019997,1414
924,86,1436
925,84.019997,1391
926,86,1327
927,75.019997,1403
928,82.940002,1534
929,86,1337
930,82.040001,1354
931,73.940002,1322
932,75.019997,1345
933,80.059998,1342
934,82.940002,1408
935,82.940002,1458
936,82.040001,1316
937,73.040001,1459
938,82.040001,1419
939,84.019997,1409
940,86,1375
941,84.919998,1525
942,84.019997,1346
943,78.980003,1270
944,75.919998,1335
945,80.059998,1494
946,82.940002,1446
947,80.059998,1405
948,73.940002,1457
